2019-05-30 17:37:28.177125: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-05-30 17:37:28.204130: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3000000000 Hz
2019-05-30 17:37:28.204333: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x55ec1336d430 executing computations on platform Host. Devices:
2019-05-30 17:37:28.204348: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
WARNING:tensorflow:From /home/ckg/cartpole_impala/impala.py:37: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/ckg/cartpole_impala/core.py:15: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/ckg/anaconda3/envs/tensorflow-cpu/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /home/ckg/anaconda3/envs/tensorflow-cpu/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
thread_0 51 12.0 0.6222193042437235
thread_1 43 20.0 0.5971354961395263
thread_3 46 16.0 0.5909637585282326
thread_0 52 25.0 0.5679884719848632
thread_2 35 64.0 0.5492069683969021
thread_2 36 12.0 0.5946171780427297
thread_0 53 28.0 0.5784988722630909
thread_3 47 47.0 0.5865269125776088
thread_1 44 66.0 0.5660525488130974
thread_0 54 25.0 0.5798458051681519
thread_0 55 14.0 0.5980658233165741
thread_2 37 61.0 0.5686137715324027
thread_3 48 38.0 0.5863368322974757
thread_1 45 40.0 0.5501727908849716
thread_3 49 12.0 0.6205293337504069
thread_2 38 20.0 0.5958191126585006
thread_1 46 15.0 0.5836993177731832
thread_2 39 14.0 0.5949386358261108
thread_0 56 44.0 0.5845976038412615
thread_1 47 18.0 0.5905750360753801
thread_0 57 17.0 0.6057209372520447
thread_1 48 22.0 0.5852667635137384
thread_2 40 36.0 0.585398276646932
thread_1 49 21.0 0.5964494092123849
thread_2 41 24.0 0.5736377636591593
thread_0 58 42.0 0.5900287159851619
thread_3 50 97.0 0.5802836264531637
thread_2 42 28.0 0.600960414324488
thread_0 59 23.0 0.5699586505475251
thread_3 51 25.0 0.583875093460083
thread_2 43 26.0 0.5878280309530405
thread_3 52 13.0 0.6070763835540185
thread_0 60 32.0 0.5659646857529879
thread_1 50 74.0 0.5547254850735536
thread_3 53 22.0 0.569935451854359
thread_0 61 19.0 0.5744285646237826
thread_2 44 46.0 0.5823881522468899
thread_1 51 37.0 0.5983230020548846
thread_3 54 32.0 0.5923385601490736
thread_3 55 20.0 0.6237006157636642
thread_1 52 35.0 0.5798543265887669
thread_0 62 56.0 0.595086008310318
thread_2 45 51.0 0.5728610742325876
thread_3 56 31.0 0.5698483278674464
thread_1 53 26.0 0.5843718464557941
thread_0 63 25.0 0.6229415130615235
thread_2 46 14.0 0.6330964905875069
thread_1 54 15.0 0.6192266980806986
thread_1 55 13.0 0.6728053368054904
thread_0 64 34.0 0.605158129159142
thread_2 47 32.0 0.5963054560124874
thread_2 48 15.0 0.6126849174499511
thread_3 57 55.0 0.5813364798372442
thread_1 56 49.0 0.5633698190961566
thread_3 58 50.0 0.5919519281387329
thread_0 65 73.0 0.580449348443175
thread_2 49 70.0 0.5682774092469897
thread_1 57 38.0 0.5982654126066911
thread_2 50 12.0 0.6583430270353953
thread_0 66 23.0 0.6010577264039413
thread_2 51 22.0 0.6062181050127203
thread_3 59 48.0 0.5906775568922361
thread_3 60 16.0 0.6424938924610615
thread_3 61 19.0 0.5902520167200189
thread_0 67 66.0 0.6037770952239181
thread_1 58 83.0 0.6101953609880194
thread_2 52 63.0 0.5606283167051891
thread_3 62 35.0 0.5931384307997567
thread_2 53 21.0 0.6199355210576739
thread_3 63 13.0 0.6729977039190439
thread_1 59 35.0 0.6258073040417262
thread_0 68 52.0 0.5805973548155564
thread_2 54 35.0 0.6064786996160235
thread_3 64 42.0 0.614315655969438
thread_2 55 14.0 0.65159358722823
thread_1 60 36.0 0.5804057816664377
thread_2 56 24.0 0.5953002149860064
thread_3 65 25.0 0.6311215853691101
thread_2 57 24.0 0.6020427023371061
thread_1 61 52.0 0.6001424800891143
thread_3 66 37.0 0.5887835122443534
thread_0 69 96.0 0.5727715138345957
thread_2 58 29.0 0.6084847594129628
thread_3 67 25.0 0.6325571370124817
thread_1 62 38.0 0.5857698415455065
thread_3 68 13.0 0.6886839820788457
thread_2 59 25.0 0.6054238533973694
thread_1 63 12.0 0.6711395482222239
thread_0 70 56.0 0.5910177890743528
thread_0 71 24.0 0.6142357016603152
thread_3 69 70.0 0.5729762409414564
thread_2 60 79.0 0.6048969520798212
thread_0 72 55.0 0.6040875391526656
thread_2 61 37.0 0.6356510020591117
thread_1 64 113.0 0.5835809992477957
thread_0 73 18.0 0.617751462592019
thread_3 70 70.0 0.6104255369731358
thread_2 62 35.0 0.6237012028694153
thread_1 65 44.0 0.6412867659872229
thread_1 66 21.0 0.6249734872863406
thread_0 74 81.0 0.5935634639528062
thread_2 63 54.0 0.604893261635745
thread_1 67 16.0 0.6829879954457283
thread_3 71 77.0 0.6146872879622819
thread_2 64 12.0 0.7090552349885305
thread_0 75 21.0 0.6715102678253537
thread_3 72 35.0 0.5948337146214077
thread_1 68 29.0 0.6121437282397829
thread_2 65 36.0 0.6394331620799171
thread_1 69 20.0 0.6678987503051758
thread_0 76 35.0 0.6437588334083557
thread_3 73 46.0 0.6229138581649117
thread_1 70 18.0 0.639487150642607
thread_2 66 55.0 0.6230910994789817
thread_1 71 42.0 0.6456465451490312
thread_0 77 79.0 0.6148335820511927
thread_2 67 34.0 0.6221996791222516
thread_3 74 72.0 0.6312046920259794
thread_2 68 34.0 0.6566406190395355
thread_3 75 29.0 0.6432107769209763
thread_3 76 18.0 0.7216912342442406
thread_2 69 29.0 0.6466170919352564
thread_1 72 105.0 0.6060244713510786
thread_1 73 17.0 0.6866666955106399
thread_2 70 33.0 0.6595657269159952
thread_0 78 117.0 0.6120548100553007
thread_0 79 29.0 0.6544346028360827
thread_2 71 35.0 0.6219189592770168
thread_3 77 82.0 0.6326198185362467
thread_2 72 14.0 0.7507312382970538
thread_1 74 58.0 0.6142408611445591
thread_0 80 24.0 0.6526387011011442
thread_1 75 28.0 0.6359507994992393
thread_0 81 34.0 0.6434055286295274
thread_3 78 86.0 0.6514900000982506
thread_2 73 61.0 0.6403810000810467
thread_3 79 21.0 0.6738764558519635
thread_1 76 76.0 0.6860880632149545
thread_3 80 44.0 0.648488846692172
thread_0 82 97.0 0.6452461075536984
thread_1 77 17.0 0.7025799330543069
thread_2 74 81.0 0.6348695629908715
thread_1 78 16.0 0.7603989504277706
thread_2 75 40.0 0.6467221647500991
thread_1 79 41.0 0.6248641711909596
thread_3 81 61.0 0.6357689187174937
thread_2 76 30.0 0.6333201090494792
thread_1 80 24.0 0.6397763093312582
thread_3 82 39.0 0.6377694209416708
thread_2 77 30.0 0.6405107458432515
thread_0 83 103.0 0.6412965574310822
thread_2 78 36.0 0.6782876799503962
thread_1 81 67.0 0.6460839002879698
thread_3 83 61.0 0.6342249610384957
thread_1 82 21.0 0.6890181813921247
thread_0 84 89.0 0.609034928712952
thread_2 79 58.0 0.6124595393394602
thread_3 84 92.0 0.6326559600622758
thread_1 83 79.0 0.6484870412681676
thread_0 85 56.0 0.6342928068978446
thread_3 85 104.0 0.6065551180105943
thread_1 84 96.0 0.6449488295863072
thread_2 80 161.0 0.6543663347729985
thread_0 86 109.0 0.6319546240185379
thread_3 86 16.0 0.7394530475139618
thread_3 87 39.0 0.6826282204725803
thread_0 87 54.0 0.6472686253212117
